Date,CAIX
2022-12-21 00:00:00,234.9
2022-12-20 00:00:00,233.52
2022-12-19 00:00:00,230.65
2022-12-16 00:00:00,230.43
2022-12-15 00:00:00,231.99
2022-12-14 00:00:00,233.34
2022-12-13 00:00:00,239.13
2022-12-12 00:00:00,240.75
2022-12-09 00:00:00,240.76
2022-12-08 00:00:00,240.88
2022-12-07 00:00:00,240.87
2022-12-06 00:00:00,248.12
2022-12-05 00:00:00,248.05
2022-12-02 00:00:00,249.73
2022-12-01 00:00:00,248.26
2022-11-30 00:00:00,249.58
2022-11-29 00:00:00,248.18
2022-11-28 00:00:00,248.15
2022-11-25 00:00:00,249.65
2022-11-24 00:00:00,248.24
2022-11-23 00:00:00,248.21
2022-11-22 00:00:00,248.06
2022-11-21 00:00:00,248.17
2022-11-18 00:00:00,248.2
2022-11-17 00:00:00,248.21
2022-11-16 00:00:00,248.19
2022-11-15 00:00:00,248.12
2022-11-14 00:00:00,270.15
2022-11-11 00:00:00,271.47
2022-11-10 00:00:00,271.87
2022-11-09 00:00:00,270.19
2022-11-08 00:00:00,270.14
2022-11-07 00:00:00,277.24
2022-11-04 00:00:00,277.24
2022-11-03 00:00:00,277.25
2022-11-02 00:00:00,277.3
2022-11-01 00:00:00,277.35
2022-10-31 00:00:00,277.24
2022-10-28 00:00:00,290.89
2022-10-27 00:00:00,290.73
2022-10-26 00:00:00,290.55
2022-10-25 00:00:00,290.79
2022-10-24 00:00:00,290.93
2022-10-21 00:00:00,284.7
2022-10-20 00:00:00,284.79
2022-10-19 00:00:00,284.76
2022-10-18 00:00:00,283.07
2022-10-17 00:00:00,283.21
2022-10-14 00:00:00,283.47
2022-10-13 00:00:00,283.66
2022-10-12 00:00:00,285.27
2022-10-11 00:00:00,287.53
2022-10-10 00:00:00,284.87
2022-10-07 00:00:00,281.78
2022-10-06 00:00:00,284.84
2022-10-05 00:00:00,290.72
2022-10-04 00:00:00,292.52
2022-10-03 00:00:00,299.44
2022-09-30 00:00:00,305.88
2022-09-29 00:00:00,305.71
2022-09-28 00:00:00,290.71
2022-09-27 00:00:00,290.76
2022-09-26 00:00:00,283.37
2022-09-23 00:00:00,276.17
2022-09-22 00:00:00,275.98
2022-09-21 00:00:00,276.51
2022-09-20 00:00:00,276.39
2022-09-19 00:00:00,265.98
2022-09-16 00:00:00,265.66
2022-09-15 00:00:00,265.89
2022-09-14 00:00:00,265.73
2022-09-13 00:00:00,250.82
2022-09-12 00:00:00,250.78
2022-09-09 00:00:00,265.68
2022-09-08 00:00:00,266.46
2022-09-07 00:00:00,274.45
2022-09-06 00:00:00,269.42
2022-09-05 00:00:00,283.41
2022-09-02 00:00:00,308.14
2022-09-01 00:00:00,293.11
2022-08-31 00:00:00,260.39
2022-08-30 00:00:00,248.56
2022-08-29 00:00:00,233.81
2022-08-26 00:00:00,234.18
2022-08-25 00:00:00,234.2
2022-08-24 00:00:00,234.26
2022-08-23 00:00:00,234.05
2022-08-22 00:00:00,234.15
2022-08-19 00:00:00,234.03
2022-08-18 00:00:00,234.15
2022-08-17 00:00:00,271.36
2022-08-16 00:00:00,254.36
2022-08-15 00:00:00,235.5
2022-08-12 00:00:00,268.82
2022-08-11 00:00:00,268.75
2022-08-10 00:00:00,268.93
2022-08-09 00:00:00,268.82
2022-08-08 00:00:00,268.8
2022-08-05 00:00:00,268.92
2022-08-04 00:00:00,268.9
2022-08-03 00:00:00,297.12
2022-08-02 00:00:00,289.56
2022-08-01 00:00:00,282.8
2022-07-29 00:00:00,294.02
2022-07-28 00:00:00,314.02
2022-07-27 00:00:00,316.66
2022-07-26 00:00:00,310.34
2022-07-25 00:00:00,307.11
2022-07-22 00:00:00,301.42
2022-07-21 00:00:00,301.51
2022-07-20 00:00:00,299.07
2022-07-19 00:00:00,315.39
2022-07-18 00:00:00,316.12
2022-07-15 00:00:00,317.82
2022-07-14 00:00:00,317.54
2022-07-13 00:00:00,302.95
2022-07-12 00:00:00,299.24
2022-07-11 00:00:00,261.92
2022-07-08 00:00:00,263.13
2022-07-07 00:00:00,267.23
2022-07-06 00:00:00,243.61
2022-07-05 00:00:00,255.56
2022-07-04 00:00:00,265.49
2022-07-01 00:00:00,259.82
2022-06-30 00:00:00,258.52
2022-06-29 00:00:00,249.4
2022-06-28 00:00:00,249.23
2022-06-27 00:00:00,260.13
2022-06-24 00:00:00,235.09
2022-06-23 00:00:00,240.39
2022-06-22 00:00:00,234.91
2022-06-21 00:00:00,227.66
2022-06-20 00:00:00,227.88
2022-06-17 00:00:00,230.2
2022-06-16 00:00:00,228.74
2022-06-15 00:00:00,221.88
2022-06-14 00:00:00,227.39
2022-06-13 00:00:00,204.38
2022-06-10 00:00:00,204.37
2022-06-09 00:00:00,197.4
2022-06-08 00:00:00,196.72
2022-06-07 00:00:00,197.65
2022-06-06 00:00:00,197.66
2022-06-03 00:00:00,197.65
2022-06-02 00:00:00,197.57
2022-06-01 00:00:00,197.73
2022-05-31 00:00:00,197.68
2022-05-30 00:00:00,197.65
2022-05-27 00:00:00,197.64
2022-05-26 00:00:00,224.42
2022-05-25 00:00:00,224.49
2022-05-24 00:00:00,224.37
2022-05-23 00:00:00,216.57
2022-05-20 00:00:00,220.79
2022-05-19 00:00:00,223.12
2022-05-18 00:00:00,211.24
2022-05-17 00:00:00,210.24
2022-05-16 00:00:00,210.26
2022-05-13 00:00:00,207.91
2022-05-12 00:00:00,216.32
2022-05-11 00:00:00,217.77
2022-05-10 00:00:00,217.82
2022-05-09 00:00:00,218.09
2022-05-06 00:00:00,214.48
2022-05-05 00:00:00,204.78
2022-05-04 00:00:00,202.7
2022-05-03 00:00:00,203.2
2022-05-02 00:00:00,205.97
2022-04-29 00:00:00,205.94
2022-04-28 00:00:00,198.77
2022-04-27 00:00:00,184.87
2022-04-26 00:00:00,184.88
2022-04-25 00:00:00,184.83
2022-04-22 00:00:00,184.77
2022-04-21 00:00:00,184.91
2022-04-20 00:00:00,184.38
