Date,CISS
8/8/2014,0.1104
8/15/2014,0.1147
8/22/2014,0.0986
8/29/2014,0.0763
9/5/2014,0.1095
9/12/2014,0.077
9/19/2014,0.0661
9/26/2014,0.0884
10/3/2014,0.1219
10/10/2014,0.1225
10/17/2014,0.1829
10/24/2014,0.1256
10/31/2014,0.156
11/7/2014,0.1324
11/14/2014,0.1093
11/21/2014,0.1217
11/28/2014,0.0489
12/5/2014,0.0969
12/12/2014,0.1137
12/19/2014,0.137
12/26/2014,0.0373
1/2/2015,0.0883
1/9/2015,0.1489
1/16/2015,0.1544
1/23/2015,0.1942
1/30/2015,0.1527
2/6/2015,0.131
2/13/2015,0.0845
2/20/2015,0.0575
2/27/2015,0.0761
3/6/2015,0.0648
3/13/2015,0.1087
3/20/2015,0.0955
3/27/2015,0.0771
4/3/2015,0.0576
4/10/2015,0.0729
4/17/2015,0.065
4/24/2015,0.0773
5/1/2015,0.1102
5/8/2015,0.1143
5/15/2015,0.0843
5/22/2015,0.0714
5/29/2015,0.0755
6/5/2015,0.1029
6/12/2015,0.0819
6/19/2015,0.0685
6/26/2015,0.0708
7/3/2015,0.1223
7/10/2015,0.1971
7/17/2015,0.1145
7/24/2015,0.0898
7/31/2015,0.1188
8/7/2015,0.1065
8/14/2015,0.1287
8/21/2015,0.1566
8/28/2015,0.211
9/4/2015,0.1876
9/11/2015,0.1263
9/18/2015,0.1992
9/25/2015,0.2356
10/2/2015,0.1722
10/9/2015,0.1603
10/16/2015,0.146
10/23/2015,0.1947
10/30/2015,0.1123
11/6/2015,0.1019
11/13/2015,0.0932
11/20/2015,0.098
11/27/2015,0.0842
12/4/2015,0.1375
12/11/2015,0.1253
12/18/2015,0.088
12/25/2015,0.0759
1/1/2016,0.0603
1/8/2016,0.1725
1/15/2016,0.1143
1/22/2016,0.1699
1/29/2016,0.1802
2/5/2016,0.1646
2/12/2016,0.2598
2/19/2016,0.2172
2/26/2016,0.2225
3/4/2016,0.2317
3/11/2016,0.2417
3/18/2016,0.1796
3/25/2016,0.11
4/1/2016,0.172
4/8/2016,0.1683
4/15/2016,0.1691
4/22/2016,0.1793
4/29/2016,0.1632
5/6/2016,0.141
5/13/2016,0.11
5/20/2016,0.1166
5/27/2016,0.1177
6/3/2016,0.1314
6/10/2016,0.1347
6/17/2016,0.1856
6/24/2016,0.3235
7/1/2016,0.3048
7/8/2016,0.2737
7/15/2016,0.3094
7/22/2016,0.1775
7/29/2016,0.2116
8/5/2016,0.2235
8/12/2016,0.1372
8/19/2016,0.151
8/26/2016,0.1397
9/2/2016,0.1478
9/9/2016,0.1431
9/16/2016,0.1212
9/23/2016,0.15
9/30/2016,0.1029
10/7/2016,0.1443
10/14/2016,0.1486
10/21/2016,0.0936
10/28/2016,0.0945
11/4/2016,0.1186
11/11/2016,0.1419
