Date,BBVA
2023-03-01 00:00:00,164.86
2023-02-28 00:00:00,164.81
2023-02-27 00:00:00,165.98
2023-02-24 00:00:00,172.155
2023-02-23 00:00:00,165.17
2023-02-22 00:00:00,168.43
2023-02-21 00:00:00,166.125
2023-02-20 00:00:00,159.145
2023-02-17 00:00:00,159.785
2023-02-16 00:00:00,156.885
2023-02-15 00:00:00,158.955
2023-02-14 00:00:00,160.715
2023-02-13 00:00:00,165.37
2023-02-10 00:00:00,166.145
2023-02-09 00:00:00,159.51
2023-02-08 00:00:00,161.035
2023-02-07 00:00:00,159.295
2023-02-06 00:00:00,161.94
2023-02-03 00:00:00,155.87
2023-02-02 00:00:00,157.3
2023-02-01 00:00:00,169.77
2023-01-31 00:00:00,174.145
2023-01-30 00:00:00,174.44
2023-01-27 00:00:00,170.65
2023-01-26 00:00:00,165.795
2023-01-25 00:00:00,170.085
2023-01-24 00:00:00,171.01
2023-01-23 00:00:00,168.545
2023-01-20 00:00:00,172.135
2023-01-19 00:00:00,167.875
2023-01-18 00:00:00,158.855
2023-01-17 00:00:00,162.16
2023-01-16 00:00:00,164.4
2023-01-13 00:00:00,162.825
2023-01-12 00:00:00,161.675
2023-01-11 00:00:00,168.19
2023-01-10 00:00:00,170.985
2023-01-09 00:00:00,169.76
2023-01-06 00:00:00,176.86
2023-01-05 00:00:00,185.79
2023-01-04 00:00:00,185.6
2023-01-03 00:00:00,189.25
2023-01-02 00:00:00,196.425
2022-12-30 00:00:00,197.51
2022-12-29 00:00:00,200.765
2022-12-28 00:00:00,201.385
2022-12-27 00:00:00,202.765
2022-12-26 00:00:00,201.175
2022-12-23 00:00:00,202.005
2022-12-22 00:00:00,203.735
2022-12-21 00:00:00,199.19
2022-12-20 00:00:00,207.85
2022-12-19 00:00:00,201.33
2022-12-16 00:00:00,197.85
2022-12-15 00:00:00,191.27
2022-12-14 00:00:00,178.99
2022-12-13 00:00:00,176.215
2022-12-12 00:00:00,188.3
2022-12-09 00:00:00,184.195
2022-12-08 00:00:00,184.95
2022-12-07 00:00:00,186.04
2022-12-06 00:00:00,184.83
2022-12-05 00:00:00,184.13
2022-12-02 00:00:00,179.145
2022-12-01 00:00:00,174.37
2022-11-30 00:00:00,183.785
2022-11-29 00:00:00,185.54
2022-11-28 00:00:00,186.69
2022-11-25 00:00:00,180.38
2022-11-24 00:00:00,180.46
2022-11-23 00:00:00,184.82
2022-11-22 00:00:00,188.96
2022-11-21 00:00:00,195.615
2022-11-18 00:00:00,196.44
2022-11-17 00:00:00,208.525
2022-11-16 00:00:00,199.95
2022-11-15 00:00:00,196.59
2022-11-14 00:00:00,202.47
2022-11-11 00:00:00,201.815
2022-11-10 00:00:00,212.2
2022-11-09 00:00:00,226.175
2022-11-08 00:00:00,225.17
2022-11-07 00:00:00,227.52
2022-11-04 00:00:00,233.6
2022-11-03 00:00:00,245.655
2022-11-02 00:00:00,238.215
2022-11-01 00:00:00,232.63
2022-10-31 00:00:00,243.04
2022-10-28 00:00:00,241.1
2022-10-27 00:00:00,244.1
2022-10-26 00:00:00,247.21
2022-10-25 00:00:00,252.625
2022-10-24 00:00:00,261.525
2022-10-21 00:00:00,268.105
2022-10-20 00:00:00,265.025
2022-10-19 00:00:00,264.075
2022-10-18 00:00:00,259.325
2022-10-17 00:00:00,265.36
2022-10-14 00:00:00,271.565
2022-10-13 00:00:00,284.84
2022-10-12 00:00:00,289.66
2022-10-11 00:00:00,287.855
2022-10-10 00:00:00,280.17
2022-10-07 00:00:00,271.2
2022-10-06 00:00:00,263.155
2022-10-05 00:00:00,269.665
2022-10-04 00:00:00,264.26
2022-10-03 00:00:00,294.99
2022-09-30 00:00:00,293.835
2022-09-29 00:00:00,313.665
2022-09-28 00:00:00,297.31
2022-09-27 00:00:00,293.655
2022-09-26 00:00:00,295.93
2022-09-23 00:00:00,285.59
2022-09-22 00:00:00,273.79
2022-09-21 00:00:00,269.56
2022-09-20 00:00:00,266.505
2022-09-19 00:00:00,247.835
2022-09-16 00:00:00,246.75
2022-09-15 00:00:00,236.82
2022-09-14 00:00:00,239.935
2022-09-13 00:00:00,240.005
2022-09-12 00:00:00,231.495
2022-09-09 00:00:00,238.855
2022-09-08 00:00:00,249.7
2022-09-07 00:00:00,253.03
2022-09-06 00:00:00,248.475
2022-09-05 00:00:00,255.445
2022-09-02 00:00:00,245.87
2022-09-01 00:00:00,258.99
2022-08-31 00:00:00,254.435
2022-08-30 00:00:00,243.04
2022-08-29 00:00:00,230.76
2022-08-26 00:00:00,231.125
2022-08-25 00:00:00,227.08
2022-08-24 00:00:00,235.75
2022-08-23 00:00:00,239.465
2022-08-22 00:00:00,237.1
2022-08-19 00:00:00,219.765
2022-08-18 00:00:00,214.555
2022-08-17 00:00:00,217.28
2022-08-16 00:00:00,210.64
2022-08-15 00:00:00,201.56
2022-08-12 00:00:00,199.11
2022-08-11 00:00:00,204.995
2022-08-10 00:00:00,214.305
2022-08-09 00:00:00,221.43
2022-08-08 00:00:00,220.47
2022-08-05 00:00:00,228.745
2022-08-04 00:00:00,228.76
2022-08-03 00:00:00,241.335
2022-08-02 00:00:00,248.76
2022-08-01 00:00:00,242.655
2022-07-29 00:00:00,246.305
2022-07-28 00:00:00,259.34
2022-07-27 00:00:00,265.76
2022-07-26 00:00:00,272.195
2022-07-25 00:00:00,257.145
2022-07-22 00:00:00,264.735
2022-07-21 00:00:00,273.91
2022-07-20 00:00:00,275.51
2022-07-19 00:00:00,290.005
2022-07-18 00:00:00,302.8
2022-07-15 00:00:00,308.97
2022-07-14 00:00:00,316.09
2022-07-13 00:00:00,303.52
2022-07-12 00:00:00,299.075
2022-07-11 00:00:00,282.55
2022-07-08 00:00:00,276.125
2022-07-07 00:00:00,279.975
2022-07-06 00:00:00,293.08
2022-07-05 00:00:00,292.87
2022-07-04 00:00:00,284.57
2022-07-01 00:00:00,286.71
2022-06-30 00:00:00,290.155
2022-06-29 00:00:00,273.325
2022-06-28 00:00:00,263.86
2022-06-27 00:00:00,258.38
2022-06-24 00:00:00,271.175
2022-06-23 00:00:00,275.32
2022-06-22 00:00:00,263.885
2022-06-21 00:00:00,259.97
2022-06-20 00:00:00,270.09
2022-06-17 00:00:00,279.36
2022-06-16 00:00:00,284.945
2022-06-15 00:00:00,272.315
2022-06-14 00:00:00,285.345
2022-06-13 00:00:00,279.875
2022-06-10 00:00:00,258.495
2022-06-09 00:00:00,242.325
2022-06-08 00:00:00,232.63
2022-06-07 00:00:00,214.485
2022-06-06 00:00:00,208.635
2022-06-03 00:00:00,209.005
2022-06-02 00:00:00,208.59
2022-06-01 00:00:00,208.975
2022-05-31 00:00:00,207.225
2022-05-30 00:00:00,198.44
2022-05-27 00:00:00,202.265
2022-05-26 00:00:00,213.74
2022-05-25 00:00:00,225.49
2022-05-24 00:00:00,230.265
2022-05-23 00:00:00,226.715
2022-05-20 00:00:00,230.675
2022-05-19 00:00:00,229.415
2022-05-18 00:00:00,221.405
2022-05-17 00:00:00,214.185
2022-05-16 00:00:00,223.67
2022-05-13 00:00:00,223.58
2022-05-12 00:00:00,229.465
2022-05-11 00:00:00,224.725
2022-05-10 00:00:00,232.67
2022-05-09 00:00:00,239.335
2022-05-06 00:00:00,232.69
2022-05-05 00:00:00,224.03
2022-05-04 00:00:00,224.35
2022-05-03 00:00:00,220.66
2022-05-02 00:00:00,224.725
2022-04-29 00:00:00,225.705
2022-04-28 00:00:00,217.96
2022-04-27 00:00:00,216.145
2022-04-26 00:00:00,209.865
2022-04-25 00:00:00,200.9
2022-04-22 00:00:00,194.705
2022-04-21 00:00:00,187.045
2022-04-20 00:00:00,188.64
2022-04-19 00:00:00,193.71
2022-04-18 00:00:00,190.06
2022-04-15 00:00:00,190.225
2022-04-14 00:00:00,190.48
2022-04-13 00:00:00,187.19
2022-04-12 00:00:00,183.86
2022-04-11 00:00:00,184.71
2022-04-08 00:00:00,182
2022-04-07 00:00:00,180.935
2022-04-06 00:00:00,179.775
2022-04-05 00:00:00,176.32
2022-04-04 00:00:00,169.98
2022-04-01 00:00:00,167.865
2022-03-31 00:00:00,168.45
2022-03-30 00:00:00,168.945
2022-03-29 00:00:00,167.71
2022-03-28 00:00:00,180.415
2022-03-25 00:00:00,182.385
2022-03-24 00:00:00,184.43
2022-03-23 00:00:00,183.215
2022-03-22 00:00:00,181.355
2022-03-21 00:00:00,180.055
2022-03-18 00:00:00,167.815
2022-03-17 00:00:00,166.23
2022-03-16 00:00:00,177.835
2022-03-15 00:00:00,197.57
2022-03-14 00:00:00,195.175
2022-03-11 00:00:00,196.975
2022-03-10 00:00:00,203.43
2022-03-09 00:00:00,195.225
2022-03-08 00:00:00,223.925
2022-03-07 00:00:00,232.38
2022-03-04 00:00:00,208.685
2022-03-03 00:00:00,190.81
2022-03-02 00:00:00,193.13
2022-03-01 00:00:00,191.585
2022-02-28 00:00:00,189.04
2022-02-25 00:00:00,180.335
2022-02-24 00:00:00,194.72
2022-02-23 00:00:00,181.875
2022-02-22 00:00:00,181.635
2022-02-21 00:00:00,186.1
2022-02-18 00:00:00,180.715
2022-02-17 00:00:00,176.885
2022-02-16 00:00:00,172.11
2022-02-15 00:00:00,172.885
2022-02-14 00:00:00,182.125
2022-02-11 00:00:00,175.91
2022-02-10 00:00:00,168.66
2022-02-09 00:00:00,162.075
2022-02-08 00:00:00,169.195
2022-02-07 00:00:00,178.135
2022-02-04 00:00:00,167.57
2022-02-03 00:00:00,157.3
2022-02-02 00:00:00,148.045
