Date,COMZ
2021-12-07 00:00:00,159.465
2021-12-06 00:00:00,167.03
2021-12-03 00:00:00,164.565
2021-12-02 00:00:00,166.995
2021-12-01 00:00:00,164.76
2021-11-30 00:00:00,168.235
2021-11-29 00:00:00,167.39
2021-11-26 00:00:00,173.275
2021-11-25 00:00:00,161.535
2021-11-24 00:00:00,160.86
2021-11-23 00:00:00,154.05
2021-11-22 00:00:00,151.535
2021-11-19 00:00:00,149.83
2021-11-18 00:00:00,146.21
2021-11-17 00:00:00,146.675
2021-11-16 00:00:00,144.695
2021-11-15 00:00:00,144.615
2021-11-12 00:00:00,144.63
2021-11-11 00:00:00,144.51
2021-11-10 00:00:00,143.43
2021-11-09 00:00:00,145.57
2021-11-08 00:00:00,143.67
2021-11-05 00:00:00,144.17
2021-11-04 00:00:00,145.51
2021-11-03 00:00:00,150.075
2021-11-02 00:00:00,154.55
2021-11-01 00:00:00,155.805
2021-10-29 00:00:00,154.295
2021-10-28 00:00:00,149.94
2021-10-27 00:00:00,145.78
2021-10-26 00:00:00,147.275
2021-10-25 00:00:00,149.145
2021-10-22 00:00:00,147.965
2021-10-21 00:00:00,148.22
2021-10-20 00:00:00,147.245
2021-10-19 00:00:00,148.505
2021-10-18 00:00:00,150.9
2021-10-15 00:00:00,147.28
2021-10-14 00:00:00,149.92
2021-10-13 00:00:00,151.855
2021-10-12 00:00:00,152.52
2021-10-11 00:00:00,150.22
2021-10-08 00:00:00,147.535
2021-10-07 00:00:00,146.165
2021-10-06 00:00:00,146.575
2021-10-05 00:00:00,143.07
2021-10-04 00:00:00,142.715
2021-10-01 00:00:00,140.095
2021-09-30 00:00:00,138.87
2021-09-29 00:00:00,138.115
2021-09-28 00:00:00,140.005
2021-09-27 00:00:00,137.925
2021-09-24 00:00:00,138.285
2021-09-23 00:00:00,141.515
2021-09-22 00:00:00,146.49
2021-09-21 00:00:00,152.775
2021-09-20 00:00:00,154.975
2021-09-17 00:00:00,135.24
2021-09-16 00:00:00,135.605
2021-09-15 00:00:00,138.01
2021-09-14 00:00:00,138.675
2021-09-13 00:00:00,139.51
2021-09-10 00:00:00,140.66
2021-09-09 00:00:00,142.195
2021-09-08 00:00:00,142.99
2021-09-07 00:00:00,142.685
2021-09-06 00:00:00,142.15
2021-09-03 00:00:00,144.98
2021-09-02 00:00:00,144.865
