ERST,KBCB,DANK,NORD,BNP,CRAG,CRMU,SOCG,BAY,COMZ,DB,DZ,HESLN,LBBW,INTE,UNIC,ABN,INGB,RABO,BBVA,CAIX,SAB,SANT,SEB,SWED,SWEN,VB
31.64,62.88,21.682188,9.731077,57.01,10.932,,22.875,,9.88,9.863,,,,2.303,18.482,13.78,12.19,,6.586,3.647,1.005,3.227,10.267205,15.375032,7.815105,
31.84,62.6,21.5645,9.483042,56.76,10.85,,22.61,,9.824,9.812,,,,2.2855,18.7,13.865,12.074,,6.488,3.613,0.9974,3.211,10.133435,14.947032,7.6451235,
31.28,62.7,19.975891,9.58106,56.47,10.852,,22.605,,9.616,9.784,,,,2.259,18.418,13.935,12.058,,6.478,3.608,0.99,3.209,10.243167,15.076972,7.7808256,
31.48,62.06,19.910378,9.307077,55.92,10.832,,22.475,,9.504,9.696,,,,2.2715,18.858,13.86,11.848,,6.4639997,3.6100001,0.9776,3.183,9.949803,14.592187,7.547949,
30.77,62.76,19.334234,9.194169,56.48,10.954,,22.61,,9.576,9.8619995,,,,2.23,18.732,14.04,11.97,,6.49,3.631,0.9962,3.21,9.777638,14.310946,7.389464,
30.27,61.5,19.027996,9.236191,54.47,10.688,,21.685,,9.462,9.578,,,,2.1555,17.914,13.685,11.676,,6.256,3.547,0.9632,3.1145,9.769708,14.362927,7.409195,
30.14,61.18,19.387905,9.406316,54.01,10.692,,21.63,,9.4,9.476,,,,2.21,18.574,13.605,11.508,,6.12,3.427,0.924,3.045,9.913857,14.61443,7.4950657,
30.44,60.18,19.270784,9.50188,55.29,10.732,,22.31,,9.616,9.646,,,,2.2255,18.664,14.045,11.732,,6.358,3.536,0.9604,3.1105,9.996517,14.726703,7.606346,
30.74,61,19.15456,9.39695,56.1,11.932,,23.7,,9.74,9.69,,,,2.245,18.708,14.405,11.964,,6.4,3.566,0.967,3.1425,9.85956,14.528745,7.524106,
30.45,61.6,19.103523,9.460919,56.31,11.91,,23.84,,9.726,9.742,,,,2.251,18.686,14.46,12.136,,6.48,3.5640001,0.969,3.197,9.923738,14.6645975,7.600976,
30.38,61.16,19.52973,9.621367,56.18,11.8220005,,23.84,,9.734,9.701,,,,2.252,18.324,14.49,11.95,,6.416,3.507,0.9642,3.155,10.183837,14.9918995,7.7889757,
31.46,60.26,19.134554,9.6182375,56.04,11.826,,23.765,,9.698,9.736,,,,2.342,19.126,14.5,11.998,,6.34,3.478,0.95,3.1415,10.141292,14.828628,7.708258,
31.85,60.46,18.913813,9.616448,57.08,11.962,,24.265,,9.974,9.964,,,,2.341,19.102,14.845,12.214,,6.492,3.508,0.9722,3.225,10.11379,14.779665,7.667501,
30.81,60.38,18.84589,9.57636,57.31,11.924,,23.355,,10.02,9.865,,,,2.4165,19.01,14.705,12.05,,6.504,3.477,0.9682,3.2295,10.114754,14.929412,7.6328444,
30.88,59.52,19.052021,9.605108,59.85,11.87,,23.185,,9.788,9.78,,,,2.3895,19.048,14.665,12.02,,6.492,3.4029999,0.9512,3.2,10.126933,14.898531,7.691162,
30.77,59.52,18.83294,9.61856,59.64,11.81,,22.975,,9.922,9.76,,,,2.4029999,18.936,14.62,12.072,,6.4639997,3.411,0.9536,3.1755,10.231376,14.987368,7.819187,
30.13,57.84,18.605783,9.492535,58.63,11.694,,22.52,,9.506,9.691,,,,2.41,18.866,14.375,11.932,,6.368,3.384,0.941,3.158,10.07362,14.7223,7.7129064,
31.17,57.48,18.40963,9.487893,58.43,11.728,,22.08,,9.882,9.607,,,,2.4205,18.77,14.245,11.794,,6.3,3.331,0.924,3.1395,9.948987,14.6751995,7.6488385,
31.3,61.62,18.651127,9.409137,58.64,11.6779995,,22.275,,10.095,9.722,,,,2.428,18.872,14.06,11.682,,6.322,3.361,0.923,3.148,9.834231,14.624354,7.66063,
31.87,61.48,18.776861,9.553474,58.49,11.718,,22.06,,10.02,9.616,,,,2.4015,18.866,13.755,11.692,,6.598,3.355,0.912,3.1425,10.219246,14.92171,7.7333384,
32.19,60.7,18.227163,9.777883,57.35,11.552,,21.8,,9.886,9.588,,,,2.4155,18.802,13.79,11.498,,6.538,3.324,0.9148,3.139,10.300739,15.296933,7.895595,
32.29,60.82,18.934828,9.750449,57.92,11.706,,21.905,,9.874,9.716,,,,2.4565,19.062,13.79,11.062,,6.302,3.342,0.9164,3.1435,10.2039585,15.350574,7.8310695,
33.07,61.18,19.412039,9.590782,58.42,11.144,,21.66,,9.836,9.671,,,,2.463,18.98,14.215,11.182,,6.31,3.343,0.9274,3.185,9.931414,14.9612665,7.658469,
32.41,63.92,19.553253,9.7054615,58.29,11.138,,21.62,,9.908,9.674,,,,2.432,18.94,14.305,11.336,,6.388,3.366,0.9166,3.187,9.9483185,15.176374,7.74494,
31.8,63.38,19.12541,9.80766,57.89,11.062,,21.62,,9.762,9.665,,,,2.3455,18.058,14.14,11.206,,6.29,3.212,0.9056,3.149,9.950567,15.252243,7.7416825,
32.55,61.36,19.506453,10.051215,55.94,10.736,,20.995,,9.292,9.247,,,,2.369,18.288,13.7,10.81,,6.18,3.168,0.8804,3.057,10.287881,15.7188225,8.00247,
32.41,63.64,19.492231,10.129449,56.29,10.866,,21.435,,9.626,9.565,,,,2.3285,17.626,14.06,10.968,,6.29,3.218,0.9006,3.12,10.336442,16.154268,8.193402,
32.91,63.76,19.51374,10.299797,56.96,10.95,,21.63,,9.646,9.633,,,,2.3845,17.94,14.29,11.02,,6.404,3.267,0.912,3.104,10.545239,16.199171,8.174971,
32.84,64.78,19.87129,10.3224125,58.59,11.084,,22.025,,10.065,9.943,,,,2.458,18.638,14.515,11.2,,6.65,3.352,0.9448,3.1865,10.098781,16.219923,8.411379,
32.38,65,19.81553,10.474331,58.74,11.056,,21.96,,10.48,9.794,,,,2.434,18,14.6,11.394,,6.89,3.547,1.0175,3.283,10.211103,16.420795,8.493942,
32.4,65.06,19.656582,10.402432,57.61,10.918,,21.715,,10.325,9.558,,,,2.461,18.354,14.495,11.22,,6.682,3.452,0.9994,3.294,10.049912,16.340494,8.386265,
32.76,64.82,19.900993,10.447744,57.73,10.812,,21.59,,10.335,9.518,,,,2.507,18.864,14.3,11.5,,6.648,3.494,0.9994,3.33,10.09589,16.288685,8.414421,
32.74,65.7,19.862837,10.413814,59.14,10.976,,22.315,,10.64,9.897,,,,2.4845,19.528,14.74,11.824,,6.814,3.554,1.0455,3.5415,10.038422,16.349422,8.359316,
32.52,65.88,19.675386,10.376329,58.66,10.886,,22.235,,10.695,9.895,,,,2.4895,19.434,14.57,11.722,,6.782,3.578,1.056,3.5444999,9.905804,16.132307,8.308493,
32.7,65.94,19.877323,10.2142105,58.85,10.98,,22.33,,10.745,9.913,,,,2.4984999,19.784,15.645,11.894,,6.814,3.642,1.0635,3.5815,9.895846,15.931516,8.288103,
32.3,66.46,19.190384,10.372812,59.6,11.018,,22.61,,10.8,10.006,,,,2.478,19.45,15.65,12.102,,6.918,3.66,1.0785,3.6375,10.099611,16.24222,8.25066,
31.89,66,18.81438,10.072592,59.41,10.88,,22.4,,10.335,9.914,,,,2.4415,19.028,15.395,12.038,,6.862,3.613,1.064,3.6,9.646592,15.882551,7.970761,
32.32,64.94,18.815714,9.994278,58.19,10.82,,21.935,,10,9.733,,,,2.4685,19.37,15.305,11.79,,6.712,3.5279999,1.0315,3.5395,9.611238,15.590194,7.967245,
31.4,66.06,18.34794,10.041226,59.39,10.956,,22.4,,10.36,9.954,,,,2.388,18.82,15.37,12.02,,6.8059998,3.542,1.0265,3.6104999,9.5966835,15.615985,7.973709,
