Date,INGB
2023-04-18 00:00:00,80.56
2023-04-17 00:00:00,82.99
2023-04-14 00:00:00,82.72
2023-04-13 00:00:00,86.09
2023-04-12 00:00:00,85.81
2023-04-11 00:00:00,87.33
2023-04-10 00:00:00,86.74
2023-04-07 00:00:00,86.31
2023-04-06 00:00:00,86.44
2023-04-05 00:00:00,88.09
2023-04-04 00:00:00,82.99
2023-04-03 00:00:00,85.39
2023-03-31 00:00:00,83.17
2023-03-30 00:00:00,82.77
2023-03-29 00:00:00,82.83
2023-03-28 00:00:00,83.65
2023-03-27 00:00:00,84.11
2023-03-24 00:00:00,82.63
2023-03-23 00:00:00,81.98
2023-03-22 00:00:00,75.75
2023-03-21 00:00:00,77.67
2023-03-20 00:00:00,78.53
2023-03-17 00:00:00,84.91
2023-03-16 00:00:00,83.11
2023-03-15 00:00:00,87.3
2023-03-14 00:00:00,85.32
2023-03-13 00:00:00,86.92
2023-03-10 00:00:00,82.48
2023-03-09 00:00:00,79.29
2023-03-08 00:00:00,78.97
2023-03-07 00:00:00,79.24
2023-03-06 00:00:00,79.72
2023-03-03 00:00:00,80.27
2023-03-02 00:00:00,82.37
2023-03-01 00:00:00,81.53
2023-02-28 00:00:00,81.7
2023-02-27 00:00:00,81.48
2023-02-24 00:00:00,81.81
2023-02-23 00:00:00,80.94
2023-02-22 00:00:00,81.73
2023-02-21 00:00:00,81.13
2023-02-20 00:00:00,79.83
2023-02-17 00:00:00,80
2023-02-16 00:00:00,78.51
2023-02-15 00:00:00,78.77
2023-02-14 00:00:00,78.87
2023-02-13 00:00:00,79.77
2023-02-10 00:00:00,77.94
2023-02-09 00:00:00,77.12
2023-02-08 00:00:00,78
2023-02-07 00:00:00,77.51
2023-02-06 00:00:00,77.55
2023-02-03 00:00:00,77.78
2023-02-02 00:00:00,79.38
2023-02-01 00:00:00,80.77
2023-01-31 00:00:00,80.43
2023-01-30 00:00:00,80.31
2023-01-27 00:00:00,79.57
2023-01-26 00:00:00,79.57
2023-01-25 00:00:00,80.25
2023-01-24 00:00:00,79.08
2023-01-23 00:00:00,79.76
2023-01-20 00:00:00,80.41
2023-01-19 00:00:00,80.58
2023-01-18 00:00:00,79.47
2023-01-17 00:00:00,79.68
2023-01-16 00:00:00,79.13
2023-01-13 00:00:00,78.69
2023-01-12 00:00:00,78.68
2023-01-11 00:00:00,79.02
2023-01-10 00:00:00,78.72
2023-01-09 00:00:00,79.13
2023-01-06 00:00:00,80.23
2023-01-05 00:00:00,80.73
2023-01-04 00:00:00,82.16
2023-01-03 00:00:00,82.01
2023-01-02 00:00:00,83.5
2022-12-30 00:00:00,83.94
2022-12-29 00:00:00,85.28
2022-12-28 00:00:00,84.68
2022-12-27 00:00:00,84.62
2022-12-26 00:00:00,84.45
2022-12-23 00:00:00,84.55
2022-12-22 00:00:00,85.07
2022-12-21 00:00:00,85.19
2022-12-20 00:00:00,85.06
2022-12-19 00:00:00,84.96
2022-12-16 00:00:00,84.82
2022-12-15 00:00:00,81.77
2022-12-14 00:00:00,79.98
2022-12-13 00:00:00,80.33
2022-12-12 00:00:00,81.34
2022-12-09 00:00:00,80.86
2022-12-08 00:00:00,81.48
2022-12-07 00:00:00,81.85
2022-12-06 00:00:00,82.13
2022-12-05 00:00:00,80.44
2022-12-02 00:00:00,81.18
2022-12-01 00:00:00,80.79
2022-11-30 00:00:00,81.32
2022-11-29 00:00:00,81.46
2022-11-28 00:00:00,81.32
2022-11-25 00:00:00,77.01
2022-11-24 00:00:00,80.7
2022-11-23 00:00:00,81.67
2022-11-22 00:00:00,81.81
2022-11-21 00:00:00,83.18
2022-11-18 00:00:00,82.93
2022-11-17 00:00:00,82.64
2022-11-16 00:00:00,80.54
2022-11-15 00:00:00,80.42
2022-11-14 00:00:00,81.14
2022-11-11 00:00:00,81.19
2022-11-10 00:00:00,81.09
2022-11-09 00:00:00,81.91
2022-11-08 00:00:00,82.25
2022-11-07 00:00:00,81.65
2022-11-04 00:00:00,80.09
2022-11-03 00:00:00,82.13
2022-11-02 00:00:00,81.14
2022-11-01 00:00:00,81.51
2022-10-31 00:00:00,81.06
2022-10-28 00:00:00,81.35
2022-10-27 00:00:00,80.63
2022-10-26 00:00:00,81.08
2022-10-25 00:00:00,82.41
2022-10-24 00:00:00,84.02
2022-10-21 00:00:00,83.7
2022-10-20 00:00:00,83.29
2022-10-19 00:00:00,84.51
2022-10-18 00:00:00,81.12
2022-10-17 00:00:00,83.63
2022-10-14 00:00:00,84.76
2022-10-13 00:00:00,86.21
2022-10-12 00:00:00,87.89
2022-10-11 00:00:00,86.66
2022-10-10 00:00:00,86.88
2022-10-07 00:00:00,82.01
2022-10-06 00:00:00,74.41
2022-10-05 00:00:00,84.8
